S_ECH,pn,an,deb,peche,engin,maille,LAT_VOY,LONG_VOY,no_db,prof,catch,longt,poidt,SEXE,poidg,poids,matc,dev,choixc,agec,sagec,cohorte,Pecheur,Remarques,datetime_set,datetime_haul,soak_time
67328,2,2021,Mutton Bay,4SW,41,2.5,50.78593,-59.04033,3,9.144,0.340194277,271.32,131.0019425,F,3.619838689,127.3821038,31,A,A,6,,2015,Richard Organ,NA,2021-06-21 17:40:00,2021-06-22 07:55:00,14.25
67328,3,2021,Mutton Bay,4SW,41,2.5,50.78593,-59.04033,3,9.144,0.340194277,265.2,140.2244144,F,17.99454787,122.2298665,60,A,P,5,,2016,Richard Organ,NA,2021-06-21 17:40:00,2021-06-22 07:55:00,14.25
67328,4,2021,Mutton Bay,4SW,41,2.63,50.78593,-59.04033,4,9.144,0.907,325.38,238.4030277,M,28.17985042,210.2231773,60,A,P,8,,2013,Richard Organ,NA,2021-06-21 17:40:00,2021-06-22 07:55:00,14.25
67328,5,2021,Mutton Bay,4SW,41,2.63,50.78593,-59.04033,4,9.144,0.907,323.34,231.8309992,F,14.50702543,217.3239738,32,A,A,7,,2014,Richard Organ,NA,2021-06-21 17:40:00,2021-06-22 07:55:00,14.25
67328,6,2021,Mutton Bay,4SW,41,2.63,50.78593,-59.04033,4,9.144,0.907,321.3,249.445259,M,46.38035848,203.0649005,50,A,P,7,,2014,Richard Organ,NA,2021-06-21 17:40:00,2021-06-22 07:55:00,14.25
67328,7,2021,Mutton Bay,4SW,41,2.63,50.78593,-59.04033,4,9.144,0.907,297.84,212.2368494,M,42.10282138,170.134028,50,A,P,6,,2015,Richard Organ,NA,2021-06-21 17:40:00,2021-06-22 07:55:00,14.25
67328,NA,2021,Mutton Bay,4SW,41,2,50.78593,-59.04033,0,9.144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Richard Organ,NA,2021-06-21 17:40:00,2021-06-22 07:55:00,14.25
67328,NA,2021,Mutton Bay,4SW,41,2.25,50.78593,-59.04033,0,9.144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Richard Organ,NA,2021-06-21 17:40:00,2021-06-22 07:55:00,14.25
67328,NA,2021,Mutton Bay,4SW,41,2.75,50.78593,-59.04033,0,9.144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Richard Organ,NA,2021-06-21 17:40:00,2021-06-22 07:55:00,14.25
67345,1,2021,Blanc Sablon,4SW,41,2,51.397833,-57.20767,1,20,0.25,319.26,243.4241972,M,2.345812732,241.0783845,70,A,P,8,,2013,Adrien Lavallée,NA,2021-06-15 13:00:00,2021-06-16 10:00:00,21
67345,2,2021,Blanc Sablon,4SW,41,2.5,51.397833,-57.20767,2,20,0.5,337.62,282.3537902,F,4.412713609,277.9410766,82,A,P,7,,2014,Adrien Lavallée,NA,2021-06-15 13:00:00,2021-06-16 10:00:00,21
67345,3,2021,Blanc Sablon,4SW,41,2.5,51.397833,-57.20767,2,20,0.5,348.84,372.9850026,M,65.52514488,307.4598577,50,A,P,11,+,2010,Adrien Lavallée,NA,2021-06-15 13:00:00,2021-06-16 10:00:00,21
67345,4,2021,Blanc Sablon,4SW,41,2.75,51.397833,-57.20767,7,20,2.5,363.12,386.8403964,F,38.02902054,348.8113759,32,A,A,12,+,2009,Adrien Lavallée,NA,2021-06-15 13:00:00,2021-06-16 10:00:00,21
67345,5,2021,Blanc Sablon,4SW,41,2.75,51.397833,-57.20767,7,20,2.5,360.06,374.819516,F,18.2904278,356.5290882,31,A,A,12,,2009,Adrien Lavallée,NA,2021-06-15 13:00:00,2021-06-16 10:00:00,21
67345,6,2021,Blanc Sablon,4SW,41,2.75,51.397833,-57.20767,7,20,2.5,350.88,356.772215,F,21.51785725,335.2543577,32,A,A,12,+,2009,Adrien Lavallée,NA,2021-06-15 13:00:00,2021-06-16 10:00:00,21
67345,7,2021,Blanc Sablon,4SW,41,2.75,51.397833,-57.20767,7,20,2.5,358.02,395.8506615,F,19.27357446,376.577087,32,A,A,12,,2009,Adrien Lavallée,NA,2021-06-15 13:00:00,2021-06-16 10:00:00,21
67345,8,2021,Blanc Sablon,4SW,41,2.75,51.397833,-57.20767,7,20,2.5,346.8,373.9753228,M,25.78827676,348.1870461,30,A,A,12,,2009,Adrien Lavallée,NA,2021-06-15 13:00:00,2021-06-16 10:00:00,21
67345,9,2021,Blanc Sablon,4SW,41,2.75,51.397833,-57.20767,7,20,2.5,374.34,453.8131467,F,40.32664329,413.4865034,32,A,A,12,,2009,Adrien Lavallée,NA,2021-06-15 13:00:00,2021-06-16 10:00:00,21
67345,10,2021,Blanc Sablon,4SW,41,2.75,51.397833,-57.20767,7,20,2.5,347.82,384.837493,F,46.24639165,338.5911013,40,A,P,9,+,2012,Adrien Lavallée,NA,2021-06-15 13:00:00,2021-06-16 10:00:00,21
67345,NA,2021,Blanc Sablon,4SW,41,2.25,51.397833,-57.20767,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adrien Lavallée,NA,2021-06-15 13:00:00,2021-06-16 10:00:00,21
67345,NA,2021,Blanc Sablon,4SW,41,2.63,51.397833,-57.20767,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adrien Lavallée,NA,2021-06-15 13:00:00,2021-06-16 10:00:00,21
67346,1,2021,Blanc Sablon,4SW,41,2,51.398316,-57.140716,6,16,1.7,333.54,272.2663549,F,4.748405851,267.5179491,82,A,P,7,,2014,Adrien Lavallée,NA,2021-06-22 13:00:00,2021-06-23 07:30:00,18.5
67346,2,2021,Blanc Sablon,4SW,41,2,51.398316,-57.140716,6,16,1.7,323.34,266.2099704,F,19.17547045,247.0344999,32,A,A,8,,2013,Adrien Lavallée,NA,2021-06-22 13:00:00,2021-06-23 07:30:00,18.5
67346,3,2021,Blanc Sablon,4SW,41,2,51.398316,-57.140716,6,16,1.7,318.24,234.8687196,F,3.734012098,231.1347075,70,A,P,7,,2014,Adrien Lavallée,NA,2021-06-22 13:00:00,2021-06-23 07:30:00,18.5
67346,4,2021,Blanc Sablon,4SW,41,2,51.398316,-57.140716,6,16,1.7,318.24,272.2663549,F,27.56285691,244.703498,40,A,A,8,,2013,Adrien Lavallée,NA,2021-06-22 13:00:00,2021-06-23 07:30:00,18.5
67346,5,2021,Blanc Sablon,4SW,41,2,51.398316,-57.140716,6,16,1.7,295.8,183.0993992,F,7.153107968,175.9462912,32,A,A,5,,2016,Adrien Lavallée,NA,2021-06-22 13:00:00,2021-06-23 07:30:00,18.5
67346,6,2021,Blanc Sablon,4SW,41,2,51.398316,-57.140716,6,16,1.7,316.2,243.9767505,F,3.961412171,240.0153383,70,A,P,8,,2013,Adrien Lavallée,NA,2021-06-22 13:00:00,2021-06-23 07:30:00,18.5
67346,7,2021,Blanc Sablon,4SW,41,2.25,51.398316,-57.140716,8,16,2.5,340.68,316.3904961,M,66.52873244,249.8617636,50,A,P,7,,2014,Adrien Lavallée,NA,2021-06-22 13:00:00,2021-06-23 07:30:00,18.5
67346,8,2021,Blanc Sablon,4SW,41,2.25,51.398316,-57.140716,8,16,2.5,332.52,317.5993393,F,40.96780203,276.6315373,40,A,P,7,,2014,Adrien Lavallée,NA,2021-06-22 13:00:00,2021-06-23 07:30:00,18.5
67346,9,2021,Blanc Sablon,4SW,41,2.25,51.398316,-57.140716,8,16,2.5,326.4,244.4280335,M,3.426292753,241.0017408,70,A,P,7,,2014,Adrien Lavallée,NA,2021-06-22 13:00:00,2021-06-23 07:30:00,18.5
67346,10,2021,Blanc Sablon,4SW,41,2.25,51.398316,-57.140716,8,16,2.5,327.42,261.1606734,F,4.074660416,257.086013,70,A,P,8,,2013,Adrien Lavallée,NA,2021-06-22 13:00:00,2021-06-23 07:30:00,18.5
